Name,Production,Country of Origin
Augusto Aguilera,Too Old to Die Young,Puerto Rico
Kevin Alejandro,Lucifer,United States
Fred Armisen,Los Espookys,United States
Melissa Barrera,Vida,Mexico
Shakira Barrera,It's Bruno!,United States
Demián Bichir ,Grand Hotel,Mexico
Alexis Bledel,The Handmaid's Tale,United States
Alice Braga,Queen of the South,Brazil
Adan Canto,Designated Survivor,Mexico
Aimee Carrero,"She-Ra and the Princess of Power, Season 3",Dominican Republic 
Juan Castano ,What/If,United States
Arturo Castro,Alternatino with Arturo Castro,Guatemala 
Cassandra Ciangherotti,Los Espookys,Mexico
Alexa Demie,Euphoria,United States
Ana Fabrega,Los Espookys,United States
Danay Garcia,Fear The Walking Dead,Cuba
Ricardo Hurtado,Malibu Rescue,United States
Gabriel Iglesias,Mr. Iglesias,United States
Selenis Leyva ,Orange is the New Black,United States
Evelyn Lozada ,Basketball Wives ,United States
 Mel Rodriguez,On Becoming a God in Central Florida ,United States
Christina Milian ,Falling Inn Love,United States
Christian Navarro,13 Reasons Why ,United States 
Lindsey Morgan,The 100,United States 
Paola Nuñez,The Son ,Mexico 
Sofia Pernas,Blood & Treasure,Morocco
Daniella Pineda,The Detour,United States 
Aubrey Plaza,Legion,United States 
Dascha Polanco,Orange is the New Black,Dominican Republic 
Mishel Prada,Vida,United States 
John Quiñones ,What Would You Do?,United States 
Priscilla Quintana,Pandora,United States 
Francia Raisa ,Grown-Ish,United States 
Cierra Ramirez,Good Trouble,United States 
Anthony Ramos,She's Gotta Have It,United States 
Judy Reyes,Claws,United States 
Mj Rodriguez,Pose,United States 
Roselyn Sanchez,Grand Hotel,Puerto Rico
Aarón Sánchez,MasterChef,United States 
Julio Torres,Los Espookys,El Salvador
Gina Torres,Pearson,United States
Bernardo Velasco,Los Espookys,Brazil
Ruth Righi ,Sydney to the Max,United States
Marcela Valladolid,Best Baker in America,United States
Mario Lopez,Supersize My Pool,United States
Diego Luna,3 Below: Tales of Arcadia,Mexico 
Pedro Jimeno,The Family Chantel,Domincan Republic
Chantel Everett,The Family Chantel,United States 
