Network,Title ,Genre,"Shows/Films with Latino Lead and/or co-lead 
Actors/Actresses 0=no 1=yes",Names of Latino Lead Actors/Actresses,"Latino ""Showrunner/Lead Writer""? no= 0 yes=1",Names of Latino lead writers/show runners ,Latino Directors? 0= no or 1,Names of Latino Directors ,
A&E,**Hero Ink,Alternative,0.00,,0.00,,0.00,,
A&E,Ghost Hunters Season 12 (Revival) ,Alternative,0.00,,0.00,,0.00,,
A&E,Psychic Kids Season 4 ,Alternative,0.00,,0.00,,0.00,,
A&E,60 Days In,Alternative,0.00,,0.00,,n/a,,
A&E,Addiction Unplugged,Alternative,0.00,,0.00,,0.00,,
A&E,Intervention,Alternative,0.00,,0.00,,0.00,,
,,A&E,0%,,0%,,0%,,
,,,,,,,,,
ABC,Bachelor in Paradise,Alternative,0.00,,0.00,,0.00,,
ABC,Card Sharks,Alternative,0.00,,0.00,,0.00,,
ABC,Celebrity Family Feud,Alternative,0.00,,0.00,,0.00,,
ABC,Family Food Fight,Alternative,0.00,,0.00,,0.00,,
ABC,Family Food Fights,Alternative,0.00,,0.00,,0.00,,
ABC,Grand Hotel,Drama,1.00,"Demián Bichir, Roselyn Sanchez",0.00,,1.00,Eva Longoria,
ABC,Holey Moley,Alternative,0.00,,0.00,,0.00,,
ABC,Marvel's Agents of S.H.I.E.L.D.,Drama,0.00,,0.00,,0.00,,
ABC,Match Game,Alternative,0.00,,0.00,,0.00,,
ABC,Press Your Luck,Alternative,0.00,,0.00,,0.00,,
ABC,Reef Break,Drama,0.00,,0.00,,0.00,,
ABC,"The $100,000 Pyramid",Alternative,0.00,,0.00,,0.00,,
ABC,The Bachelorette,Alternative,0.00,,0.00,,0.00,,
ABC,To Tell the Truth,Alternative,0.00,,0.00,,0.00,,
ABC,What Would You Do?,Alternative,1.00,"John Quiñones (San Antonio, TX)",0.00,,0.00,,
,,,,,,,,,
,,,,,,,,,
Amazon,**Good Omens,Comedy,0.00,,0.00,,0.00,,
Amazon,**The Boys,Drama,0.00,,0.00,,0.00,,
Amazon,**Too Old to Die Young,Drama,1.00,Augusto Aguilera,0.00,,0.00,,
Amazon,**Carnival Row,Drama,0.00,,0.00,,0.00,,
Amazon,**All or Nothing: The Carolina Panthers,Docu-series,0.00,,0.00,,0.00,,
Amazon,**This Is Football ,Docu-series,0.00,,0.00,,0.00,,
Amazon,Free Meek,Docu-series,0.00,,0.00,,0.00,,
Amazon,Fleabag,Drama,0.00,,0.00,,0.00,,
Amazon,Sneaky Pete,Drama,0.00,,0.00,,0.00,,
Amazon,Absentia,Drama,0.00,,0.00,,0.00,,
,,Amazon,1/8= 12.5%,,0%,,0%,,
,,,,,,,,,
AMC,NOS4A2,Drama,0.00,,0.00,,0.00,,
AMC,Lodge 49,Comedy,0.00,,0.00,,0.00,,
AMC,Preacher,Drama,0.00,,0.00,,0.00,,
AMC,The Terror: Infamy,Drama,0.00,,0.00,,0.00,,
AMC,Fear The Walking Dead,Drama,1.00,Danay Garcia,0.00,,0.00,,
AMC,Talking Dead ,Alternative,0.00,,0.00,,0.00,,
AMC,The Son ,Drama,1.00,Paola Nuñez,0.00,,0.00,,
,,,,,,,,,
,,,,,,,,,
Bravo,**Flippin’ Exes,Alternative,0.00,,0.00,,0.00,,
Bravo,Southern Charm New Orleans ,Alternative,0.00,,0.00,,0.00,,
Bravo,Below Deck Mediterranean,Alternative,0.00,,0.00,,0.00,,
Bravo,The Real Housewives of Orange County,Alternative,0.00,,0.00,,0.00,,
Bravo,The Real Housewives of Potomac Season 5  ,Alternative,0.00,,0.00,,0.00,,
BRAVO,Best Room Wins,Alternative,0.00,,0.00,,0.00,,
Bravo ,Million Dollar Listing: New York Season 8 ,Alternative,0.00,,0.00,,0.00,,
,,Bravo,,,0%,,0%,,
,,,,,,,,,
CBS,Big Brother,Alternative,0.00,,0.00,,0.00,,
CBS,Blood & Treasure,Drama,1.00,Sofia Pernas,0.00,,0.00,,
CBS,Elementary,Drama,0.00,,0.00,,0.00,,
CBS,Instinct,Drama,0.00,,0.00,,0.00,,
CBS,Love Island,Alternative,0.00,,0.00,,0.00,,
CBS,Strange Angel,Drama,0.00,,0.00,,0.00,,
CBS,The Amazing Race,Drama,0.00,,0.00,,0.00,,
,WHISTLEBLOWER,Docu-series,1.00,Alex Ferrer (Cuba),1.00,Alex Ferrer (Cuba),n/a,,
CBS,The Good Fight,Drama,0.00,,0.00,,0.00,,
,,CBS,,,0%,,0%,,
,,,,,,,,,
Comedy Central,Alternatino with Arturo Castro,Comedy,1.00,Arturo Castro,0.00,,0.00,,
Comedy Central,Kevin Hart Presents: Hart of the City,Alternative,0.00,,0.00,,0.00,,
Comedy Central,Lights Out with Daivd Spade,Comedy,0.00,,0.00,,0.00,,
Comedy Central,This Week At the Comedy Cellar,Comedy,0.00,,0.00,,0.00,,
Comedy Central,Drunk History,Alternative,0.00,,0.00,,0.00,,
Comedy Central,Klepper,Comedy,0.00,,0.00,,0.00,,
Comedy Central,South Side,Comedy,0.00,,0.00,,0.00,,
,,Comedy Central,,,0%,,0%,,
,,,,,,,,,
CW,**Hypnotize Me,Alternative,0.00,,0.00,,0.00,,
CW,**The Big Stage,Alternative,0.00,,0.00,,0.00,,
CW,**Pandora,Drama,1.00,Priscilla Quintana (7),0.00,,0.00,,
CW,**Mysteries Decoded,Docu-series,0.00,,0.00,,0.00,,
CW,iZombie,Comedy,0.00,,0.00,,0.00,,
CW,Whose Line Is It Anyway?,Alternative,0.00,,0.00,,0.00,,
CW,Penn & Teller: Fool Us,Alternative,0.00,,0.00,,0.00,,
CW,I Ship It,Alternative,0.00,,0.00,,0.00,,
CW,The 100,Drama,1.00,Lindsey Morgan,0.00,,0.00,,
CW,Bulletproof,Drama,0.00,,0.00,,0.00,,
CW,The Outpost,Drama,0.00,,0.00,,0.00,,
CW,Two Sentence Horror Stories,Drama,0.00,,0.00,,0.00,,
CW,Burden of Truth,Drama,0.00,,0.00,,0.00,,
CW,The Masters of Illusion,Alternative,0.00,,0.00,,0.00,,
CW,My Last Days Season 3 ,Alternative,0.00,,0.00,,0.00,,
,,CW,2/15= 13.3%,,0%,,0%,,
,,,,,,,,,
DISCOVERY CHANNEL,Aaron Needs a Job,Alternative,0.00,,0.00,,n/a,,
DISCOVERY CHANNEL,Contact,Docu-series,0.00,,0.00,,n/a,,
DISCOVERY CHANNEL,Dirty Mudder Truckers,Alternative,0.00,,0.00,,n/a,,
DISCOVERY CHANNEL,Expedition Unknown,Alternative,0.00,,0.00,,n/a,,
DISCOVERY CHANNEL,Fast N' Loud,Alternative,0.00,,0.00,,n/a,,
DISCOVERY CHANNEL,Masters of Disaster,Alternative,0.00,,0.00,,n/a,,
DISCOVERY CHANNEL,JEREMY WADE'S DARK WATERS,Alternative,0.00,,0.00,,n/a,,
DISCOVERY CHANNEL,Raising Wild,Alternative,0.00,,0.00,,n/a,,
DISCOVERY CHANNEL,Shark Week,Docu-series,0.00,,0.00,,n/a,,
DISCOVERY CHANNEL,Undercover Billionaire ,Alternative,0.00,,0.00,,n/a,,
Discovery,Truth Behind the Moon Landing,Docu-series,0.00,,0.00,,n/a,,
Discovery,Serengeti,Docu-series,0.00,,0.00,,n/a,,
Discovery,Guardians of the Glades,Alternative,0.00,,0.00,,n/a,,
Discovery,Savage Builds,Alternative,0.00,,0.00,,n/a,,
Discovery,Home Sweet Sextuplets,Alternative,0.00,,0.00,,n/a,,
Discovery,BattleBots,Alternative,0.00,,0.00,,n/a,,
Discovery,Homestead Rescue,Alternative,0.00,,0.00,,n/a,,
Discovery,Alaskan Bush People,Alternative,0.00,,0.00,,n/a,,
,,Discovery,0%,,0%,,0%,,
,,,,,,,,,
Disney,Amphibia,Kids,0.00,,0.00,,0.00,,
Disney,Andi Mack,Kids,0.00,,0.00,,0.00,,
Disney,Bunk’d,Kids,0.00,,0.00,,0.00,,
Disney,Just Roll with It,Kids,0.00,,0.00,,0.00,,
Disney,Raven's Home,Kids,0.00,,0.00,,0.00,,
Disney,Sydney to the Max,Kids,1.00,Ruth Righi (U.S.),0.00,,0.00,,
,,Disney,,,,,0%,,
,,,,,,,,,
