Network,Title ,Genre,"Shows/Films with Latino Lead and/or co-lead 
Actors/Actresses 0=no 1=yes",Names of Latino Lead Actors/Actresses,"Latino ""Showrunner/Lead Writer""? no= 0 yes=1",Names of Latino lead writers/show runners ,Latino Directors? 0= no or 1,Names of Latino Directors ,,,,,,
Netflix,13 Reasons Why ,Drama,1,Christian Navarro,0,,0,,,,,,,
A&E,60 Days In,Alternative,0,,0,,n/a,,,,,,,
TLC,90 Day Fiance: Before the 90 Days,Alternative,0,,0,,n/a,,,,,,,
TLC,90 Day Fiancé: The Other Way,Alternative,0,,0,,n/a,,,,,,,
HBO,A Black Lady Sketch Show,Alternative,0,,0,,0,,,,,,,
Travel Channel,A Haunting Season 10,"Docu-series
",0,,0,,n/a,,,,,,,
DISCOVERY CHANNEL,Aaron Needs a Job,Alternative,0,,0,,n/a,,,,,,,
Amazon,Absentia,Drama,0,,0,,0,,,,,,,
A&E,Addiction Unplugged,Alternative,0,,0,,0,,,,,,,
Discovery,Alaskan Bush People,Alternative,0,,0,,n/a,,,,,,,
Travel Channel,Alien Highway,Alternative,0,,0,,n/a,,,,,,,
Amazon,All or Nothing: The Carolina Panthers,Docu-series,0,,0,,0,,,,,,,
History,Alone Season 6,Alternative,0,,0,,n/a,,,,,,,
Comedy Central,Alternatino with Arturo Castro,Comedy,1,Arturo Castro,0,,0,,,,,,,
OWN,Ambitions,Drama,0,,0,,0,,,,,,,
Travel Channel,America Unearthed,Docu-series,0,,0,,n/a,,,,,,,
NBC,America's Got Talent,Alternative,0,,0,,0,,,,,,,
INVESTIGATION DISCOVERY,American Murder Mystery Season 14 - ,Docu-series,0,,0,,n/a,,,,,,,
NBC,American Ninja Warrior,Alternative,0,,0,,0,,,,,,,
History,American Pickers,Alternative,0,,0,,n/a,,,,,,,
Lifetime,American Princess,Drama,0,,0,,0,,,,,,,
Netflix,Another Life,Drama,0,,0,,0,,,,,,,
FX,Archer: 1999,Comedy,0,,0,,0,,,,,,,
MTV,Are You the One? Season 8,Alternative,0,,0,,0,,,,,,,
Netflix,Awake: The Million Dollar Game,Alternative,0,,0,,0,,,,,,,
History,AX Men,Alternative,0,,0,,n/a,,,,,,,
ABC,Bachelor in Paradise,Alternative,0,,0,,0,,,,,,,
HBO,Ballers,Comedy,0,,0,,0,,,,,,,
Netflix ,Basketball or Nothing ,Docu-series,0,,0,,0,,,,,,,
VH1,Basketball Wives Season 8 ,Alternative,1,Evelyn Lozada (NY),0,,0,,,,,,,
FX,Baskets,Comedy,0,,0,,0,,,,,,,
Discovery,BattleBots,Alternative,0,,0,,n/a,,,,,,,
Food Network,BBQ BRAWL ,Alternative ,0,,0,,n/a,,,,,,,
HGTV,Beach front Bargain Hunt,Alternative,0,,0,,n/a,,,,,,,
HGTV,Beach Hunters,Alternative,0,,0,,n/a,,,,,,,
Fox,Beat Shazam,Alternative,0,,0,,0,,,,,,,
Bravo,Below Deck Mediterranean,Alternative,0,,0,,0,,,,,,,
